Locationabbr,Locationdesc,Question,Response,Sample_Size
AK,Alaska,What is your race/ethnicity?,Black,54
AK,Alaska,Gender of respondent,Male,"1,967"
AK,Alaska,Gender of respondent,Female,"2,421"
AZ,Arizona,Gender of respondent,Male,"5,982"
AZ,Arizona,Gender of respondent,Female,"8,885"
AL,Alabama,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"2,887"
AL,Alabama,Adults who have had at least one drink of alcohol within the past 30 days,No,"5,415"
AL,Alabama,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,677
AL,Alabama,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"7,553"
AL,Alabama,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,322
AL,Alabama,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"7,886"
AL,Alabama,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"3,914"
AL,Alabama,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"4,693"
AL,Alabama,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,879
AL,Alabama,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"7,699"
AL,Alabama,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,"1,263"
AL,Alabama,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"7,357"
AL,Alabama,Ever told you had angina or coronary heart disease?,Yes,678
AL,Alabama,Ever told you had angina or coronary heart disease?,No,"7,848"
AL,Alabama,Ever told you had a heart attack (myocardial infarction)?,Yes,644
AL,Alabama,Ever told you had a heart attack (myocardial infarction)?,No,"7,953"
AL,Alabama,Ever told you had a stroke?,Yes,536
AL,Alabama,Ever told you had a stroke?,No,"8,089"
AL,Alabama,Ever told you have COPD?,Yes,"1,087"
AL,Alabama,Ever told you have COPD?,No,"7,514"
