Locationabbr,Response,Sample_Size
AK,No,448
AK,Yes,"3,905"
AL,No,806
AL,Yes,"7,825"
AR,No,440
AR,Yes,"4,782"
AZ,No,"1,053"
AZ,Yes,"13,749"
CA,No,"1,041"
CA,Yes,"7,756"
CO,No,"1,113"
CO,Yes,"12,227"
CT,No,417
CT,Yes,"7,505"
DC,No,139
DC,Yes,"3,921"
DE,No,265
DE,Yes,"4,022"
FL,No,"1,012"
FL,Yes,"8,761"
GA,No,761
GA,Yes,"5,563"
HI,No,534
HI,Yes,"6,697"
IA,No,397
IA,Yes,"7,712"
ID,No,679
ID,Yes,"4,787"
IL,No,356
IL,Yes,"4,687"
IN,No,"1,016"
IN,Yes,"10,462"
KS,No,"1,332"
KS,Yes,"12,331"
KY,No,576
KY,Yes,"10,587"
LA,No,922
LA,Yes,"5,829"
MA,No,488
MA,Yes,"15,098"
MD,No,497
MD,Yes,"12,030"
ME,No,717
ME,Yes,"8,396"
MI,No,568
MI,Yes,"7,860"
MN,No,876
MN,Yes,"15,492"
MO,No,572
MO,Yes,"6,478"
MS,No,486
MS,Yes,"3,699"
MT,No,664
MT,Yes,"6,806"
NC,No,950
NC,Yes,"6,313"
ND,No,421
ND,Yes,"7,326"
NE,No,"1,732"
NE,Yes,"20,593"
NH,No,497
NH,Yes,"5,668"
NJ,No,"1,104"
NJ,Yes,"11,886"
NM,No,949
NM,Yes,"7,954"
NV,No,401
NV,Yes,"3,345"
NY,No,565
NY,Yes,"6,276"
OH,No,720
OH,Yes,"10,170"
OK,No,794
OK,Yes,"7,631"
OR,No,354
OR,Yes,"4,852"
PA,No,707
PA,Yes,"10,243"
PR,No,250
PR,Yes,"5,733"
RI,No,282
RI,Yes,"6,151"
SC,No,"1,243"
SC,Yes,"9,732"
SD,No,506
SD,Yes,"6,865"
TN,No,463
TN,Yes,"4,666"
TX,No,"2,404"
TX,Yes,"12,935"
UT,No,"1,522"
UT,Yes,"13,443"
VA,No,812
VA,Yes,"8,620"
VT,No,338
VT,Yes,"6,115"
WA,No,595
WA,Yes,"9,453"
WI,No,408
WI,Yes,"6,623"
WV,No,433
WV,Yes,"5,755"
WY,No,542
WY,Yes,"5,847"
